route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105330F3164015:2024-12-17T00:21:46Z,105330,1,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F3519686:2024-12-17T00:21:46Z,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105347F3164263:2024-12-20T00:22:47Z,105347,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105362F3521364:2024-12-20T00:22:47Z,105362,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105362F3524554:2024-11-29T10:03:28Z,105362,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105375F3163519:2024-11-29T10:03:28Z,105375,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105375F3202126:2024-12-20T00:22:47Z,105375,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105377F3496681:2024-12-20T00:22:47Z,105377,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105378F3159456:2024-12-20T00:22:47Z,105378,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105378F3527641:2024-11-29T10:03:28Z,105378,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105379F3520280:2024-12-17T00:21:46Z,105379,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105431F3519047:2024-11-29T10:03:28Z,105431,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105432F3163594:2024-12-20T00:22:47Z,105432,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105432F3164227:2024-11-29T10:03:28Z,105432,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105437F3163520:2024-12-20T00:22:47Z,105437,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105437F3202766:2024-12-17T00:21:46Z,105437,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105437F3205334:2024-11-29T10:03:28Z,105437,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105437F3519172:2024-11-29T10:03:28Z,105437,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105442F3164834:2024-12-20T00:22:47Z,105442,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105451F3518424:2024-12-17T00:21:46Z,105451,1,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105455F3518281:2024-12-17T00:21:46Z,105455,1,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN105485F3522216:2024-12-20T00:22:47Z,105485,1,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106306F3525571:2024-12-20T00:22:47Z,106306,0,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106330F3520157:2024-12-20T00:22:47Z,106330,0,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN106331F3496439:2024-12-20T00:22:47Z,106331,0,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN106331F3521163:2024-12-17T00:21:46Z,106331,0,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN106342F3495905:2024-11-29T10:03:28Z,106342,0,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106347F3517700:2024-12-20T00:22:47Z,106347,0,28,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN106350F3163724:2024-12-18T00:22:08Z,106350,0,29,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN106367F3518562:2024-11-29T10:03:28Z,106367,0,30,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN106377F3163029:2024-12-20T00:22:47Z,106377,0,31,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106378F3164585:2024-12-20T00:22:47Z,106378,0,32,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN106379F3518709:2024-12-17T00:21:46Z,106379,0,33,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN106442F3518287:2024-12-17T00:21:46Z,106442,0,34,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN106445F3518090:2024-11-29T10:03:28Z,106445,0,35,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN106445F3530077:2024-12-20T00:22:47Z,106445,0,36,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106450F3520086:2024-12-20T00:22:47Z,106450,0,37,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN106461F3160110:2024-12-17T00:21:46Z,106461,0,38,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN106485F3495786:2024-12-20T00:22:47Z,106485,0,39,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107241F3518959:2024-12-20T00:22:47Z,107241,1,40,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN107260F3211436:2024-11-29T10:03:28Z,107260,1,41,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN107261F3518089:2024-12-17T00:21:46Z,107261,1,42,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107284F3517815:2024-12-20T00:22:47Z,107284,1,43,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107300F3163466:2024-12-20T00:22:47Z,107300,1,44,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107306F3163480:2024-12-20T00:22:47Z,107306,1,45,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN107359F3301206:2024-12-20T00:22:47Z,107359,1,46,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN107486F3517768:2024-11-29T10:03:28Z,107486,1,47,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN108203F3499373:2024-11-29T10:03:28Z,108203,0,48,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN108203F3520274:2024-12-20T00:22:47Z,108203,0,49,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108241F3163529:2024-12-17T00:21:46Z,108241,0,50,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108260F3519292:2024-12-17T00:21:46Z,108260,0,51,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108284F3517595:2024-12-20T00:22:47Z,108284,0,52,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN108300F3517790:2024-12-17T00:21:46Z,108300,0,53,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000000,OCESN108359F3163929:2024-12-20T00:22:47Z,108359,0,54,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN108440F3163504:2024-12-17T00:21:46Z,108440,0,55,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN108440F3175845:2024-11-29T10:03:28Z,108440,0,56,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN108440F3517611:2024-12-20T00:22:47Z,108440,0,57,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN108444F3517618:2024-12-17T00:21:46Z,108444,0,58,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117769F3735214:2024-12-17T00:21:46Z,117769,0,59,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117771F3751189:2024-12-20T00:22:47Z,117771,0,60,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117773F3514727:2024-12-17T00:21:46Z,117773,0,61,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117775F3518169:2024-12-17T00:21:46Z,117775,0,62,
FR:Line::B10C45A0-C32C-4232-85F2-4BB81B810084:,000019,OCESN117777F3738606:2024-12-17T00:21:46Z,117777,0,63,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13100F3521709:2024-12-20T00:22:47Z,13100,1,64,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13101F3518009:2024-12-20T00:22:47Z,13101,0,65,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13102F3526141:2024-12-20T00:22:47Z,13102,1,66,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13103F3514410:2024-12-20T00:22:47Z,13103,0,67,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000020,OCESN13104F3517648:2024-11-29T10:03:28Z,13104,1,68,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000021,OCESN13104F3518732:2024-11-29T10:03:28Z,13104,1,69,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13104F3534572:2024-11-29T10:03:28Z,13104,1,70,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000023,OCESN13104F3560786:2024-11-29T10:03:28Z,13104,1,71,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000024,OCESN13104F3620659:2024-11-29T10:03:28Z,13104,1,72,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000025,OCESN13104F3634857:2024-11-29T10:03:28Z,13104,1,73,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000026,OCESN13105F3518063:2024-11-29T10:03:28Z,13105,0,74,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000022,OCESN13105F3635855:2024-11-29T10:03:28Z,13105,0,75,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000027,OCESN13105F3653549:2024-11-29T10:03:28Z,13105,0,76,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13106F3529191:2024-12-20T00:22:47Z,13106,1,77,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13107F3517677:2024-12-20T00:22:47Z,13107,0,78,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13108F3517679:2024-12-20T00:22:47Z,13108,1,79,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000027,OCESN13109F3519524:2024-11-29T10:03:28Z,13109,0,80,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000021,OCESN13109F3530053:2024-11-29T10:03:28Z,13109,0,81,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000028,OCESN13109F3579556:2024-11-29T10:03:28Z,13109,0,82,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000029,OCESN13109F3604190:2024-11-29T10:03:28Z,13109,0,83,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000015,OCESN13110F3517701:2024-12-20T00:22:47Z,13110,1,84,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000030,OCESN13111F3511273:2024-12-02T00:30:40Z,13111,0,85,
FR:Line::97E911FA-C8F2-4861-AD3C-C36CF4750A49:,000021,OCESN13111F3515901:2024-11-29T10:03:28Z,13111,0,86,
