route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000042,OCESN12263F3517567:2024-12-17T00:21:46Z,12263,1,45,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12263F3532568:2024-12-14T00:25:12Z,12263,1,46,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000043,OCESN12265F3517551:2024-11-29T10:03:28Z,12265,1,47,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12265F3517552:2024-11-29T10:03:28Z,12265,1,48,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000044,OCESN12265F3586449:2024-12-20T00:22:47Z,12265,1,49,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12266F3517853:2024-11-29T10:03:28Z,12266,0,50,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12266F3521141:2024-12-07T00:26:03Z,12266,0,51,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12266F3642792:2024-12-07T00:26:03Z,12266,0,52,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000045,OCESN12267F3517343:2024-11-29T10:03:28Z,12267,1,53,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000008,OCESN12267F3517344:2024-11-29T10:03:28Z,12267,1,54,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000046,OCESN12267F3517345:2024-11-29T10:03:28Z,12267,1,55,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000019,OCESN12267F3518991:2024-11-29T10:03:28Z,12267,1,56,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000047,OCESN12267F3518992:2024-12-20T00:22:47Z,12267,1,57,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000048,OCESN12268F2080214:2024-12-05T00:26:54Z,12268,0,58,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000049,OCESN12268F3515326:2024-12-17T00:21:46Z,12268,0,59,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000050,OCESN12268F3515327:2024-12-06T00:26:17Z,12268,0,60,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000051,OCESN12268F3517334:2024-12-14T00:25:12Z,12268,0,61,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12271F3517312:2024-12-14T00:25:12Z,12271,1,62,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000046,OCESN12271F3517313:2024-12-05T00:26:54Z,12271,1,63,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000052,OCESN12273F3514636:2024-12-05T00:26:54Z,12273,1,64,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000053,OCESN12273F3525653:2024-12-14T00:25:12Z,12273,1,65,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000054,OCESN12275F3527908:2024-12-17T00:21:46Z,12275,1,66,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000055,OCESN12276F3517300:2024-12-20T00:22:47Z,12276,0,67,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000056,OCESN12276F3524085:2024-11-29T10:03:28Z,12276,0,68,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000045,OCESN12276F3524087:2024-11-29T10:03:28Z,12276,0,69,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000057,OCESN12276F3524808:2024-11-29T10:03:28Z,12276,0,70,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000058,OCESN12276F3635986:2024-12-11T00:26:38Z,12276,0,71,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000059,OCESN12278F3515249:2024-12-20T00:22:47Z,12278,0,72,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000060,OCESN12278F3579940:2024-11-29T10:03:28Z,12278,0,73,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000061,OCESN12278F3579941:2024-11-29T10:03:28Z,12278,0,74,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000062,OCESN12294F3516318:2024-12-20T00:22:47Z,12294,0,75,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000063,OCESN12294F3517298:2024-11-29T10:03:28Z,12294,0,76,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000064,OCESN12294F3517299:2024-11-29T10:03:28Z,12294,0,77,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000065,OCESN12294F3518139:2024-11-29T10:03:28Z,12294,0,78,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000066,OCESN12295F3511848:2024-12-17T00:21:46Z,12295,1,79,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000030,OCESN12295F3517296:2024-11-29T10:03:28Z,12295,1,80,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000067,OCESN12295F3520975:2024-11-29T10:03:28Z,12295,1,81,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000030,OCESN12297F3517647:2024-11-29T10:03:28Z,12297,1,82,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000068,OCESN12297F3520539:2024-11-29T10:03:28Z,12297,1,83,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000069,OCESN12297F3520540:2024-11-29T10:03:28Z,12297,1,84,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000070,OCESN12297F3529075:2024-12-17T00:21:46Z,12297,1,85,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000071,OCESN12297F3529076:2024-11-29T10:03:28Z,12297,1,86,
FR:Line::1C59DA64-5D12-4600-9092-4E99FCBFAC7A:,000048,OCESN12297F3654368:2024-11-29T10:03:28Z,12297,1,87,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2022F3519766:2024-12-20T00:22:47Z,2022,1,88,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000073,OCESN2023F3748209:2024-12-20T00:22:47Z,2023,0,89,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000074,OCESN2050F3517690:2024-12-20T00:22:47Z,2050,1,90,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000075,OCESN2051F3516105:2024-12-20T00:22:47Z,2051,0,91,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000076,OCESN2054F3516577:2024-12-20T00:22:47Z,2054,1,92,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2056F3747057:2024-12-20T00:22:47Z,2056,1,93,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000077,OCESN2058F3521067:2024-12-20T00:22:47Z,2058,1,94,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000060,OCESN2058F3589797:2024-12-20T00:22:47Z,2058,1,95,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000078,OCESN2059F3519067:2024-12-20T00:22:47Z,2059,0,96,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000079,OCESN2059F3524620:2024-12-20T00:22:47Z,2059,0,97,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000078,OCESN2060F3515639:2024-12-20T00:22:47Z,2060,1,98,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000080,OCESN2060F3515743:2024-12-20T00:22:47Z,2060,1,99,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000081,OCESN2060F3534202:2024-12-20T00:22:47Z,2060,1,100,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000082,OCESN2061F3512263:2024-12-20T00:22:47Z,2061,0,101,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000083,OCESN2061F3512264:2024-12-20T00:22:47Z,2061,0,102,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000084,OCESN2061F3521113:2024-12-20T00:22:47Z,2061,0,103,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000085,OCESN2061F3532942:2024-12-20T00:22:47Z,2061,0,104,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2061F3534287:2024-12-20T00:22:47Z,2061,0,105,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000086,OCESN2062F3403571:2024-12-20T00:22:47Z,2062,1,106,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000085,OCESN2062F3517681:2024-12-20T00:22:47Z,2062,1,107,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000087,OCESN2062F3517682:2024-12-20T00:22:47Z,2062,1,108,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000088,OCESN2062F3517684:2024-12-20T00:22:47Z,2062,1,109,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000089,OCESN2062F3666284:2024-12-20T00:22:47Z,2062,1,110,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000090,OCESN2062F3666287:2024-12-20T00:22:47Z,2062,1,111,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000091,OCESN2062F3666292:2024-12-20T00:22:47Z,2062,1,112,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000090,OCESN2064F3521665:2024-12-20T00:22:47Z,2064,1,113,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000092,OCESN2064F3528388:2024-12-20T00:22:47Z,2064,1,114,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000093,OCESN2065F3254815:2024-12-20T00:22:47Z,2065,0,115,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000094,OCESN2067F3519296:2024-12-20T00:22:47Z,2067,0,116,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000095,OCESN2067F3519463:2024-12-20T00:22:47Z,2067,0,117,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000096,OCESN2067F3521704:2024-12-20T00:22:47Z,2067,0,118,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000097,OCESN2067F3653573:2024-12-20T00:22:47Z,2067,0,119,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000073,OCESN2068F3515389:2024-12-20T00:22:47Z,2068,1,120,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000098,OCESN2069F3521611:2024-12-20T00:22:47Z,2069,0,121,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000099,OCESN2071F3427690:2024-12-20T00:22:47Z,2071,0,122,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000100,OCESN2071F3515737:2024-12-20T00:22:47Z,2071,0,123,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000101,OCESN2072F3372057:2024-12-20T00:22:47Z,2072,1,124,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000001,OCESN2072F3515277:2024-12-20T00:22:47Z,2072,1,125,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000056,OCESN2072F3515730:2024-12-20T00:22:47Z,2072,1,126,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000102,OCESN2072F3515731:2024-12-20T00:22:47Z,2072,1,127,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2074F3261577:2024-12-20T00:22:47Z,2074,1,128,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2075F3515908:2024-12-20T00:22:47Z,2075,0,129,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000103,OCESN2075F3518337:2024-12-20T00:22:47Z,2075,0,130,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000104,OCESN2075F3521706:2024-12-20T00:22:47Z,2075,0,131,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000001,OCESN2075F3531357:2024-12-20T00:22:47Z,2075,0,132,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000085,OCESN2076F3440169:2024-12-20T00:22:47Z,2076,1,133,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000105,OCESN2076F3516764:2024-12-20T00:22:47Z,2076,1,134,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000106,OCESN2076F3516774:2024-12-20T00:22:47Z,2076,1,135,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000107,OCESN2076F3517826:2024-12-20T00:22:47Z,2076,1,136,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000090,OCESN2076F3519199:2024-12-20T00:22:47Z,2076,1,137,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000108,OCESN2076F3706219:2024-12-20T00:22:47Z,2076,1,138,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000009,OCESN2076F3706220:2024-12-20T00:22:47Z,2076,1,139,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000109,OCESN2077F3530319:2024-12-20T00:22:47Z,2077,0,140,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000110,OCESN2080F3533766:2024-12-18T00:22:08Z,2080,0,141,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000099,OCESN2080F3645811:2024-12-14T00:25:12Z,2080,0,142,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000077,OCESN2083F3534229:2024-12-20T00:22:47Z,2083,1,143,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000111,OCESN2083F3534259:2024-11-29T10:03:28Z,2083,1,144,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000112,OCESN2083F3539865:2024-11-29T10:03:28Z,2083,1,145,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000001,OCESN2083F3539891:2024-11-29T10:03:28Z,2083,1,146,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000113,OCESN2083F3645873:2024-11-29T10:03:28Z,2083,1,147,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000114,OCESN2083F3646199:2024-11-29T10:03:28Z,2083,1,148,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000082,OCESN2085F3515905:2024-12-20T00:22:47Z,2085,0,149,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2085F3746854:2024-12-20T00:22:47Z,2085,0,150,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000049,OCESN2086F3536625:2024-12-20T00:22:47Z,2086,1,151,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000115,OCESN2086F3677327:2024-12-20T00:22:47Z,2086,1,152,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000087,OCESN2086F3709160:2024-12-20T00:22:47Z,2086,1,153,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2086F3746925:2024-12-20T00:22:47Z,2086,1,154,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000116,OCESN2087F3533693:2024-12-03T00:25:49Z,2087,0,155,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000114,OCESN2087F3658809:2024-12-11T00:26:38Z,2087,0,156,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000003,OCESN2087F3673305:2024-12-11T00:26:38Z,2087,0,157,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000117,OCESN2087F3705185:2024-12-05T00:26:54Z,2087,0,158,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000069,OCESN2087F3726057:2024-12-11T00:26:38Z,2087,0,159,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000118,OCESN2087F3726058:2024-12-11T00:26:38Z,2087,0,160,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000072,OCESN2088F3205903:2024-12-20T00:22:47Z,2088,1,161,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000001,OCESN2090F3535806:2024-11-29T10:03:28Z,2090,1,162,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000119,OCESN2090F3704663:2024-12-04T00:26:30Z,2090,1,163,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000111,OCESN2092F3535805:2024-11-29T10:03:28Z,2092,0,164,
FR:Line::6D267C2D-7D54-4578-9380-B2C7C75C7010:,000019,OCESN2092F3706876:2024-12-04T00:26:30Z,2092,0,165,
FR:Line::4F3E7D7E-1FEF-4DB7-A210-473D950E2F37:,000001,OCESN2093F3483420:2024-12-20T00:22:47Z,2093,0,166,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000069,OCESN2096F3516948:2024-12-11T00:26:38Z,2096,1,167,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000120,OCESN2096F3516949:2024-12-03T00:25:49Z,2096,1,168,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000118,OCESN2096F3516950:2024-12-11T00:26:38Z,2096,1,169,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000003,OCESN2096F3516951:2024-12-06T00:26:17Z,2096,1,170,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000121,OCESN2096F3517044:2024-11-29T10:03:28Z,2096,1,171,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000122,OCESN2096F3522225:2024-12-11T00:26:38Z,2096,1,172,
FR:Line::19ea029b-6782-421a-8481-7470f5718e47:,000117,OCESN2096F3705056:2024-12-05T00:26:54Z,2096,1,173,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000123,OCESN2202F3272544:2024-12-06T00:26:17Z,2202,1,174,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000124,OCESN2202F3516306:2024-11-29T10:03:28Z,2202,1,175,
FR:Line::1AF6DA65-F2A9-4241-A625-8B81DC2A8E51:,000125,OCESN2202F3524785:2024-11-29T10:03:28Z,2202,1,176,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000126,OCESN2203F3515679:2024-12-19T00:34:06Z,2203,1,177,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000127,OCESN2203F3515680:2024-12-19T00:34:06Z,2203,1,178,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000016,OCESN2203F3515681:2024-12-19T00:34:06Z,2203,1,179,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000128,OCESN2203F3516918:2024-12-19T00:34:06Z,2203,1,180,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000008,OCESN2203F3518157:2024-12-19T00:34:06Z,2203,1,181,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000129,OCESN2203F3518158:2024-12-19T00:34:06Z,2203,1,182,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000130,OCESN2203F3542058:2024-12-19T00:34:06Z,2203,1,183,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000131,OCESN2203F3575531:2024-12-19T00:34:06Z,2203,1,184,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000132,OCESN2203F3575532:2024-12-19T00:34:06Z,2203,1,185,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000133,OCESN2203F3575668:2024-12-19T00:34:06Z,2203,1,186,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000104,OCESN2203F3588911:2024-12-19T00:34:06Z,2203,1,187,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000085,OCESN2203F3642974:2024-12-19T00:34:06Z,2203,1,188,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000072,OCESN2203F3643226:2024-12-19T00:34:06Z,2203,1,189,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000134,OCESN2203F3643227:2024-12-19T00:34:06Z,2203,1,190,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000135,OCESN2203F3644377:2024-12-19T00:34:06Z,2203,1,191,
FR:Line::4FA25873-A63A-4A2D-B62F-EF950E45D8A9:,000082,OCESN2203F3644378:2024-12-19T00:34:06Z,2203,1,192,
