GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;IDGAIA;RG_TRONCON;LIBELLE;LIB_GARE;PK;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
E6BDDA06666711E3A7FF01F464E0362D;109103;711000;Ligne d'Eygurande-Merlines à Clermont-Ferrand;e6bdda06-6667-11e3-a7ff-01f464e0362d;1;;Laqueuille;442+719;677011.2907000035;6505321.2995;2.704853505428261;45.647048413768054;45.647048413768054, 2.704853505428261;45.647048413750284, 2.704853505428261;"{""coordinates"": [2.704853505428261, 45.647048413750284], ""type"": ""Point""}"
E5DFFD62666711E3A7FF01F464E0362D;109075;330000;Ligne de St-Denis à Dieppe;e5dffd62-6667-11e3-a7ff-01f464e0362d;2;La Villetertre;Lavilletertre;052+412;621336.3033000007;6900846.940200001;1.920704382997745;49.20250401532866;49.20250401532866, 1.9207043829977453;49.20250401530832, 1.9207043829977444;"{""coordinates"": [1.920704382997744, 49.20250401530832], ""type"": ""Point""}"
E978B79C666711E3A7FF01F464E0362D;108722;702000;Ligne de Montluçon à St-Sulpice-Laurière;e978b79c-6667-11e3-a7ff-01f464e0362d;1;;Busseau-sur-Creuse;389+756;624623.266400002;6558603.077199999;2.023844364955577;46.12303673780821;46.12303673780821, 2.0238443649555773;46.12303673779182, 2.0238443649555764;"{""coordinates"": [2.023844364955576, 46.12303673779182], ""type"": ""Point""}"
E981ECE6666711E3A7FF01F464E0362D;108662;606000;Ligne du Dorat à Limoges-Bénédictins;e981ece6-6667-11e3-a7ff-01f464e0362d;1;;Bellac;431+738;549152.5879999995;6560250.3233;1.046243428840409;46.125259801498395;46.125259801498395, 1.0462434288404088;46.12525980148201, 1.0462434288404072;"{""coordinates"": [1.046243428840407, 46.12525980148201], ""type"": ""Point""}"
E9C3305C666711E3A7FF01F464E0362D;136681;081000;Ligne de Châlons-en-Champagne à Reims-Cérès;e9c3305c-6667-11e3-a7ff-01f464e0362d;1;;St-Hilaire-au-Temple;186+118;800811.7338000014;6884886.436700001;4.379295107635062;49.05592200905078;49.05592200905078, 4.379295107635062;49.05592200902972, 4.379295107635063;"{""coordinates"": [4.379295107635063, 49.05592200902972], ""type"": ""Point""}"
E887DBCE666711E3A7FF01F464E0362D;109512;395000;Ligne de St-Cyr à Surdon;e887dbce-6667-11e3-a7ff-01f464e0362d;1;;Ste-Gauburge;156+455;510877.72680000216;6849444.982099999;0.42889187820659;48.7174251331736;48.7174251331736, 0.42889187820658986;48.71742513315084, 0.4288918782065883;"{""coordinates"": [0.428891878206588, 48.71742513315084], ""type"": ""Point""}"
E6B5F4B2666711E3A7FF01F464E0362D;132537;784000;Ligne de Clermont-Ferrand à St-Just-sur-Loire;e6b5f4b2-6667-11e3-a7ff-01f464e0362d;1;;Noirétable;068+002;759106.8859999999;6524327.142200001;3.761191342112098;45.81601494704283;45.81601494704283, 3.761191342112098;45.81601494702556, 3.761191342112099;"{""coordinates"": [3.761191342112099, 45.81601494702556], ""type"": ""Point""}"
E6F983EA666711E3A7FF01F464E0362D;109087;725000;Ligne de Sévérac-le-Château à Rodez;e6f983ea-6667-11e3-a7ff-01f464e0362d;1;;Laissac;601+062;685842.0899000019;6364017.954100002;2.82231186388015;44.3750538540899;44.3750538540899, 2.82231186388015;44.375053854068625, 2.8223118638801497;"{""coordinates"": [2.82231186388015, 44.375053854068625], ""type"": ""Point""}"
E9661F50666711E3A7FF01F464E0362D;109500;701000;Ligne de Capdenac à Rodez;e9661f50-6667-11e3-a7ff-01f464e0362d;1;;St-Christophe;278+975;652864.2802999988;6374147.2685;2.407481693607086;44.464787751590286;44.464787751590286, 2.4074816936070857;44.46478775156926, 2.4074816936070853;"{""coordinates"": [2.407481693607085, 44.46478775156926], ""type"": ""Point""}"
E5781A10666711E3A7FF01F464E0362D;109659;738000;Ligne de Montauban-Ville-Bourbon à La Crémade;e5781a10-6667-11e3-a7ff-01f464e0362d;1;;Vielmur-sur-Agout;290+750;626485.5454000011;6280985.202599999;2.08941722458486;43.624100475948126;43.624100475948126, 2.0894172245848597;43.62410047592494, 2.0894172245848592;"{""coordinates"": [2.089417224584859, 43.62410047592494], ""type"": ""Point""}"
